Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
configuring.usp_INS_file_int_field_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@unitid:System.Int64,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_file_ms_attr_fg_link,configurator,@filemsattrid:System.Int64;@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_INS_file_ms_attribute,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32;@file_mslistid:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_file_multi_select_list,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_file_radiob_attr,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32;@file_radioblistid:System.Int64,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_file_radiob_list,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32;@restricted:System.Boolean,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_file_rb_attr_fg_link,configurator,@file_radiobattrid:System.Int64;@filtergroupid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_INS_file_real_field_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@unitid:System.Int64,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_file_text_field_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_filter_group,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_form_group_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_step_status_definition,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_unit_of_measure,configurator,@unitofmeasure:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_workflow_action,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_workflow_model_name,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_workflow_output_def,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_workflow_rule,configurator,@mnemonic:System.String;@attribute_name:System.String;@description:System.String;@listposition:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
configuring.usp_INS_workflow_rule_link,configurator,@workflow_rule_id:System.Int64;@step_transitionid:System.Int64,@message:System.String;@transaction_status:System.String,0
configuring.usp_INS_workflow_step_def,configurator,@workflow_model_id:System.Int64;@model_stepmnem:System.String;@model_stepname:System.String;@model_stepdescr:System.String;@model_steporder:System.Int32,@message:System.String;@transaction_status:System.String;@newrecordid:System.Int64,0
