TABLE,CREATE,READ,UPDATE,DELETE,PROCESS
[doc_attr].[doc_real_number_field_names],configuring.usp_INS_doc_real_field_name,reading.usp_SEL_all_doc_real_fields,configuring.usp_UPD_doc_real_field_name,configuring.usp_DEL_doc_real_field_name,
[doc_attr].[doc_real_number_values],editing.usp_INS_doc_real_value,"reading.usp_SEL_all_docs_real_any
reading.usp_SEL_doc_real_values_by_doc
reading.usp_SEL_docs_real_equals (applies filter group, includes files)
reading.usp_SEL_docs_real_less_than (applies filter group, includes files)
reading.usp_SEL_docs_real_greater_than (applies filter group, includes files.)
reading.usp_SEL_docs_real_between (applies filter group, includes files.)
reading.usp_SEL_all_docs_real_equals (doesn't apply filter group, no files)
reading.usp_SEL_all_docs_real_greater (doesn't apply filter group, no files)
reading.usp_SEL_all_docs_real_less (doesn't apply filter groups, no files.)
reading.usp_SEL_all_docs_real_between (doesn't apply filter groups, no files.)",editing.usp_UPD_doc_real_value,editing.usp_DEL_doc_real_value,
[file_attr].[doc_ms_attr_fgroup_links],configuring.usp_INS_doc_ms_attr_fg_link,reading.usp_SEL_doc_ms_attr_fg_links,configuring.usp_UPD_doc_ms_attr_fg_link,configuring.usp_DEL_doc_ms_attr_fg_link,
[file_attr].[file_date_field_names],configuring.usp_INS_file_date_field_name,reading.usp_SEL_all_file_date_fields,configuring.usp_UPD_file_date_field_name,configuring.usp_DEL_file_date_field_name,
[file_attr].[file_date_values],editing.usp_INS_file_date_value ,"reading.usp_SEL_all_files_date_any
reading.usp_SEL_file_date_values_by_file
reading.usp_SEL_files_date_equals (filter group applied, retrieves files)
reading.usp_SEL_files_date_after (filter group applied, retrieves files)
reading.usp_SEL_files_date_before (filter group applied, retrieves files)
reading.usp_SEL_files_date_between (filter group applied, retrieves files)
reading.usp_SEL_all_files_date_equals (no filter group, no files)
reading.usp_SEL_all_files_date_before (no filter group, no files)
reading.usp_SEL_all_files_date_after (no filter group, no files)
reading.usp_SEL_all_files_date_between (no filter group, not files)",editing.usp_UPD_file_date_value ,editing.usp_DEL_file_date_value,
[file_attr].[file_free_text_values],editing.usp_INS_file_text_value ,"reading.usp_SEL_all_fls_by_txt_fld_any
reading.usp_SEL_file_text_values_by_file
reading.usp_SEL_files_by_text_field (applies filter group)
reading.usp_SEL_all_files_by_txt_field (no filter group)",editing.usp_UPD_file_text_value,editing.usp_DEL_file_text_value,
[file_attr].[file_int_values],editing.usp_INS_file_int_value ,"reading.usp_SEL_all_files_int_any
reading.usp_SEL_file_int_values_by_file
reading.usp_SEL_files_int_equals (applies filter group, retrieves files)
reading.usp_SEL_files_int_less_than (applies filter group, retrieves files)
reading.usp_SEL_files_int_greater_than (applies filter group, retrieves files)
reading.usp_SEL_files_int_between (applies filter group, retrieves files)
reading.usp_SEL_all_files_int_equals (does not apply filter group, no files)
reading.usp_SEL_all_files_int_less_than (does not apply filter group, no files)
reading.usp_SEL_all_files_int_grtr_than (does not apply filter group, no files)
reading.usp_SEL_all_files_int_between (does not apply filter group, no files)",editing.usp_UPD_file_int_value,editing.usp_DEL_file_int_value,
[file_attr].[file_integer_field_names],configuring.usp_INS_file_int_field_name,reading.usp_SEL_all_file_int_fields,configuring.usp_UPD_file_int_field_name,configuring.usp_DEL_file_int_field_name,
[file_attr].[file_ms_attr_fgroup_links],configuring.usp_INS_file_ms_attr_fg_link,reading.usp_SEL_file_ms_attr_fg_links,configuring.usp_UPD_file_ms_attr_fg_link,configuring.usp_DEL_file_ms_attr_fg_link,
[file_attr].[file_multi_select_attributes],configuring.usp_INS_file_ms_attribute,"reading.usp_SEL_all_file_ms_attributes
reading.usp_SEL_file_ms_attr_by_list","configuring.usp_UPD_file_ms_attr_text
configuring.usp_UPD_file_ms_attr_posn
configuring.usp_UPD_file_ms_attr_list",configuring.usp_DEL_file_ms_attribute,
