Stored procedure,Authentication,Input Parameters,Data Type,"OptionalOrMandatory
",Output Parameters,Data Type,Alias,Data Type,Description
[configuring].[usp_DEL_file_ms_list],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a file multi-select list name record.
[configuring].[usp_DEL_file_ms_list],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_radiob_attr],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a record from file_radio_button_list_names
[configuring].[usp_DEL_file_radiob_attr],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_radiob_list],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a record from the file radio button list.
[configuring].[usp_DEL_file_radiob_list],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_rb_attr_fg_link],Configurator,@file_radiobattrid,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a document radio button attribute ID to filter group ID link.
[configuring].[usp_DEL_file_rb_attr_fg_link],,@filtergroupid,bigint,Mandatory,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_real_field_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a file real number field name.
[configuring].[usp_DEL_file_real_field_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_file_text_field_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a file text field name.
[configuring].[usp_DEL_file_text_field_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_filter_group],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a filter group.
[configuring].[usp_DEL_filter_group],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_form_group_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a form group record.
[configuring].[usp_DEL_form_group_name],,,,,@transaction_status,nvarchar(50),,,
[configuring].[usp_DEL_general_field_name],Configurator,@id_to_delete,bigint,Mandatory,@message,nvarchar(1000),,,Deletes a general field name.
[configuring].[usp_DEL_general_field_name],,,,,@transaction_status,nvarchar(50),,,
