Name,ApplicationRole,InputParameters,OutputParameters,ResultSets
reading.usp_SEL_files_by_doc_by_radiob,reader,@documentid:System.String;@file_radiobattrid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_by_duty_function,reader,@functionid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_by_filename,reader,@likestring:System.String;@formid:System.Int64;@filtergoupid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_by_filter_group,reader,@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_by_fnct_fld_name,reader,@genfield_nameid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numrecords:System.Int64;@numdocs:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_by_function_list,reader,@function_list_id:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_by_ms_list,reader,@filemslistid:System.Int64;@filemsattrid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_by_people_list,reader,@peoplelistid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64;@outputformid:System.Int64;@formname:System.String;@outputfiltergroupid:System.Int64;@filtergroupname:System.String,1
reading.usp_SEL_files_by_radio_button,reader,@file_radiobattrid:System.Int64;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
reading.usp_SEL_files_by_text_field,reader,@filetextnameid:System.Int64;@likestring:System.String;@filtergroupid:System.Int64;@formid:System.Int64,@message:System.String;@transaction_status:System.String;@numrows:System.Int64;@numfiles:System.Int64,1
