CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
rid-upd-fl-gp-ed-prm-ppl-notes-form,Update File Group People List Edit Permission Notes,Controller,FORM,rid-upd-fl-gp-ed-prm-ppl-notes-form,,Update the notes column of a file group people list edit permission record.,,Update;Change;Revise,Files,FileGroups;PeopleList,
rid-upd-fm-dc-c-ob-ms-def-form,Update Form Document Common Object Multi-Select Default,Configurator,FORM,rid-upd-fm-dc-c-ob-ms-def-form,,Update a form document common object multi-select default.,,Update;Change;Revise,Documents;Forms,Forms,
rid-upd-fm-dc-c-ob-ms-lnk-form,Update Form To Document Common Object Multi-Select Link,Configurator;Controller,FORM,rid-upd-fm-dc-c-ob-ms-lnk-form,,Update a form to document common object multi-select link.,,Update;Change;Revise,Documents;Forms,Forms,
rid-upd-fm-dc-c-ob-rb-lnk-form,Update Form To Document Common Object Radio Button Link,Configurator;Controller,FORM,rid-upd-fm-dc-c-ob-rb-lnk-form,,Update a form to document common object radio button link.,,Update;Change;Revise,Documents;Forms,Forms,
rid-upd-fm-doc-crtd-by-id-link-form,Update Form To Document-Created-By-ID Field Link,Configurator;Controller,FORM,rid-upd-fm-doc-crtd-by-id-link-form,,Update a form to document created-by-id field link.,,Update;Change;Revise,Documents;Forms,Forms;Created By ID,
rid-upd-fm-doc-crtd-by-nm-link-form,Update Form To Document-Created-By-Name Field Link,Configurator;Controller,FORM,rid-upd-fm-doc-crtd-by-nm-link-form,,Update a form to document created-by-name field link.,,Update;Change;Revise,Documents;Forms,Forms;Created By,
rid-upd-fm-doc-funct-lst-links-form,Update Form To Document Function List Field Link,Configurator;Controller,FORM,rid-upd-fm-doc-funct-lst-links-form,,Update a form to document function list link.,,Update;Change;Revise,Documents;Forms,Forms,
rid-upd-fm-fl-c-ob-ms-lnk-form,Update Form To File Common Object Multi-Select Link,Configurator;Controller,FORM,rid-upd-fm-fl-c-ob-ms-lnk-form,,Update a form to file common object multi-select link.,,Update;Change;Revise,Files;Forms,Forms,
rid-upd-fm-fl-c-ob-rb-lnk-form,Update Form To File Radio Button Attribute Link,Configurator;Controller,FORM,rid-upd-fm-fl-c-ob-rb-lnk-form,,Update a form to file radio button object link.,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-upd-fm-fl-com-obj-ms-def-form,Update Form File Common Object Multi-Select Default,Configurator,FORM,rid-upd-fm-fl-com-obj-ms-def-form,,Update a form file common object multi-select default.,,Update;Change;Revise,Files;Forms,Forms,
rid-upd-fm-fl-crtd-by-id-link-form,Update Form To File-Created-By-ID Field Link,Configurator;Controller,FORM,rid-upd-fm-fl-crtd-by-id-link-form,,Update a form to file created-by-id field link.,,Update;Change;Revise,Files;Forms,Forms;Created By ID,
rid-upd-fm-fl-crtd-by-nm-link-form,Update Form To File-Created-By-Name Field Link,Configurator;Controller,FORM,rid-upd-fm-fl-crtd-by-nm-link-form,,Update a form to file created-by-name field link.,,Update;Change;Revise,Files;Forms,Forms;Created By,
rid-upd-fm-fl-funct-lst-links-form,Update Form To File Function List Field Link,Configurator;Controller,FORM,rid-upd-fm-fl-funct-lst-links-form,,Update a form to file function list link.,,Update;Change;Revise,Files;Forms,Forms,
rid-upd-form-doc-created-link-form,Update Form To Document-Created-Date Field Link,Configurator;Controller,FORM,rid-upd-form-doc-created-link-form,,Update a link between a form and the document created date field.,,Update;Change;Revise,Documents;Forms,Forms;Created,
rid-upd-form-doc-date-link-form,Update Form To Document Date Field Link,Configurator;Controller,FORM,rid-upd-form-doc-date-link-form,,Update the attribute of a form to document date field link.,,Update;Change;Revise,Documents,DocDateField,
rid-upd-form-doc-free-text-lnk-form,Update Form To Document Free Text Field Link,Configurator;Controller,FORM,rid-upd-form-doc-free-text-lnk-form,,Update the attribute of a form to document free text link.,,Update;Change;Revise,Documents,DocFreeTextField,
rid-upd-form-doc-int-lnk-form,Update Form To Document Integer Field Link,Configurator;Controller,FORM,rid-upd-form-doc-int-lnk-form,,Update a form to document integer field link.,,Update;Change;Revise,Documents,DocIntegerField,
rid-upd-form-doc-lock-link-form,Update Form To Document Lock Status Field Link,Configurator;Controller,FORM,rid-upd-form-doc-lock-link-form,,Update a link between a form and a document lock status field.,,Update;Change;Revise,Documents;Forms,Forms;Lock Status,
rid-upd-form-doc-ms-link-form,Update Form To Document Multi-Select Field Link,Configurator;Controller,FORM,rid-upd-form-doc-ms-link-form,,Update a form to document multi-select field link.,,Update;Change;Revise,Documents,DocMultiSelectList,
rid-upd-form-doc-multi-sel-def-form,Update Form To Document Multi-Select Default,Configurator,FORM,rid-upd-form-doc-multi-sel-def-form,,Update a form document multi-select default.,,Update;Change;Revise,Documents,DocMultiSelectList,
rid-upd-form-doc-radiob-link-form,Update Form To Document Radio Button Field Link,Configurator;Controller,FORM,rid-upd-form-doc-radiob-link-form,,Update a form to document radio-button field link.,,Update;Change;Revise,Documents;Forms,Forms,
rid-upd-form-doc-real-lnk-form,Update Form To Document Real Number Field Link,Configurator;Controller,FORM,rid-upd-form-doc-real-lnk-form,,Update a form to document real number field link.,,Update;Change;Revise,Documents,DocRealNumberField,
rid-upd-form-doc-tr-grp-link-form,Update Form To Document Transaction Group Field Link,Configurator;Controller,FORM,rid-upd-form-doc-tr-grp-link-form,,Update a form to document transaction group field link.,,Update;Change;Revise,Documents;Forms,Forms;Transaction Groups,
rid-upd-form-file-created-link-form,Update Form To File-Created-Date Field Link,Configurator;Controller,FORM,rid-upd-form-file-created-link-form,,Update a link between a form and the file created date field.,,Update;Change;Revise,Files;Forms,Forms;Created,
rid-upd-form-file-date-link-form,Update Form To File Date Field Link,Configurator;Controller,FORM,rid-upd-form-file-date-link-form,,Update a form to file date link.,,Update;Change;Revise,Files,FileDateField,
rid-upd-form-file-hash-link-form,Update Form To File Content Hash Field Link,Configurator;Controller,FORM,rid-upd-form-file-hash-link-form,,Update a form to file content hash link.,,Update;Change;Revise,Files;Forms,Forms;Content Hash,
rid-upd-form-file-int-link-form,Update Form To File Integer Field Link,Configurator;Controller,FORM,rid-upd-form-file-int-link-form,,Update a form to file integer field link.,,Update;Change;Revise,Files,FileIntegerField,
rid-upd-form-file-ms-link-form,Update Form To File Multi-Select Field Link,Configurator;Controller,FORM,rid-upd-form-file-ms-link-form,,Update a form to file mult-select field link.,,Update;Change;Revise,Files;Forms,Forms,
rid-upd-form-file-name-link-form,Update Form To Filename Field Link,Configurator;Controller,FORM,rid-upd-form-file-name-link-form,,Update a form to file filename link.,,Update;Change;Revise,Files;Forms,Forms;Filename,
rid-upd-form-file-plist-links-form,Update Form To File People List Field Link,Configurator;Controller,FORM,rid-upd-form-file-plist-links-form,,Update a form to file people list link.,,Update;Change;Revise,Files;Forms,Forms;PeopleList,
rid-upd-form-file-radiob-link-form,Update Form To File Radio Button Field Link ,Configurator;Controller,FORM,rid-upd-form-file-radiob-link-form,,Update a form to file radio button field link.,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-upd-form-file-real-link-form,Update Form To File Real Number Field Link,Configurator;Controller,FORM,rid-upd-form-file-real-link-form,,Update a form to file real number field link.,,Update;Change;Revise,Files,FileRealNumberField,
rid-upd-form-file-size-link-form,Update Form To File Size Link,Configurator;Controller,FORM,rid-upd-form-file-size-link-form,,Update a form to file size link.,,Update;Change;Revise,Files;Forms,Forms;File Size,
rid-upd-form-file-tr-grp-link-form,Update Form To File Transaction Group Link,Configurator;Controller,FORM,rid-upd-form-file-tr-grp-link-form,,Update a form to file transaction group link.,,Update;Change;Revise,Files;Forms,Forms;Transaction Groups,
rid-upd-form-group-owner-form,Update Form Group Owner Authorization,Authorizer,FORM,rid-upd-form-group-owner-form,,Update a form group owner authorization.,,Update;Change;Revise,Files;Forms,FormGroups,
rid-upd-form-group-posn-form,Update List Postion of Form Group,Configurator,FORM,rid-upd-form-group-posn-form,,Update the list position of a form group.,,Update;Change;Revise,,Forms;FormGroups,
rid-upd-form-group-text-form,Update Form Group Text Fields,Configurator,FORM,rid-upd-form-group-text-form,,Update the text fields for a form group name. ,,Update;Change;Revise,Files;Forms,FormGroups,
rid-upd-form-id-posn-form,Update Form List Position,Configurator;Controller,FORM,rid-upd-form-id-posn-form,,Update the list position of a form ID record.,,Update;Change;Revise,Forms,Forms,
rid-upd-form-id-text-form,Update Form Text Fields,Configurator;Controller,FORM,rid-upd-form-id-text-form,,Update the text of a form ID record.,,Update;Change;Revise,Forms,Forms,
rid-upd-frm-doc-funct-links-form,Update Form To Document Duty Function Field Link,Configurator;Controller,FORM,rid-upd-frm-doc-funct-links-form,,Update a form to document function list link.  ALL FIELDS MUST BE COMPLETED.,,Update;Change;Revise,Documents;Forms,Forms,
rid-upd-frm-doc-ppl-lst-lnks-form,Update Form To Document People List Field Link,Configurator;Controller,FORM,rid-upd-frm-doc-ppl-lst-lnks-form,,Update a form to document people list link.,,Update;Change;Revise,Documents;Forms,Forms;PeopleList,
rid-upd-frm-doc-user-lnks-form,Update Form Document To User Link,Configurator,FORM,rid-upd-frm-doc-user-lnks-form,,Update a form to general field name for user ID document link.,,Update;Change;Revise,Documents;Users;Forms,GeneralFieldName;Forms,
rid-upd-frm-file-funct-links-form,Update Form To File Duty Function Field Link,Configurator;Controller,FORM,rid-upd-frm-file-funct-links-form,,Update a form to file duty function link.,,Update;Change;Revise,Files,DutyFunctionField,
