CommandId,Label,Roles,ActionType,Reference,Shortcut,Description,Icon,Actions,Objects,Fields,Weight
rid-upd-doc-ms-list-text-form,Update Doc Multi-Select List Text Fields,Configurator,FORM,rid-upd-doc-ms-list-text-form,,Update the text field for a document multi-select list record.,,Update;Change;Revise,Documents,DocMultiSelectList,
rid-upd-doc-multi-select-link-form,Update Doc To Multi-Select Attribute Link,Editor,FORM,rid-upd-doc-multi-select-link-form,,Update a document multi-select link record.,,Update;Change;Revise,Documents,DocMultiSelectList,
rid-upd-doc-radiob-attr-form,Update Doc Radio Button Attribute,Configurator,FORM,rid-upd-doc-radiob-attr-form,,Update the field of a doc radio button attribute,,Update;Change;Revise,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-upd-doc-radiob-link-form,Update Doc Radio Button Attribute Link,Editor,FORM,rid-upd-doc-radiob-link-form,,Update a document radio button link.,,Update;Change;Revise,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-upd-doc-rb-attr-fg-link-form,Update Doc Radio Button To Filter Group Link,Configurator,FORM,rid-upd-doc-rb-attr-fg-link-form,,Update a document radio button to filter group link record.,,Update;Change;Revise,Documents,DocRadioButtonList;FilterGroups;DocRadioButtonAttribute,
rid-upd-doc-rb-attr-list-form,Update Doc Radio Button Attribute List,Configurator,FORM,rid-upd-doc-rb-attr-list-form,,Re-assign a document radio button attribute to a different list. ,,Replace;Reassign,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-upd-doc-rb-attr-posn-form,Update Doc Radio Button Attribute List Position,Configurator,FORM,rid-upd-doc-rb-attr-posn-form,,Update the list position of a doc radio button attribute.,,Update;Change;Revise,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-upd-doc-rb-list-posn-form,Update List Position of Doc Radio Button List,Configurator,FORM,rid-upd-doc-rb-list-posn-form,,Update the list position of a document radio button list.,,Update;Change;Revise,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-upd-doc-rb-list-text-form,Update Doc Radio Button List Text Fields,Configurator,FORM,rid-upd-doc-rb-list-text-form,,Update the text field for a document radio button list record.,,Update;Change;Revise,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-upd-doc-rb-restriction-form,Updates Doc Radio Button List Restricted Flag,Configurator,FORM,rid-upd-doc-rb-restriction-form,,Update the restricted flag for a document radio button list.,,Update;Change;Revise,Documents,DocRadioButtonList;DocRadioButtonAttribute,
rid-upd-doc-real-field-name-form,Update Doc Real Number Field,Configurator,FORM,rid-upd-doc-real-field-name-form,,Update a document real number field name.,,Update;Change;Revise,Documents,DocRealNumberField,
rid-upd-doc-real-value-form,Update Doc Real Number Value,Controller;Editor,FORM,rid-upd-doc-real-value-form,,Update a document real number value.,,Update;Change;Revise,Documents,DocRealNumberField,
rid-upd-doc-tag-form,Update Tag Text Fields,Controller;Editor,FORM,rid-upd-doc-tag-form,,Update the text fields for a tag.,,Update;Change;Revise,,Tags,
rid-upd-doc-text-field-name-form,Update Doc Free Text Field,Configurator,FORM,rid-upd-doc-text-field-name-form,,Update a document free text field name.,,Update;Change;Revise,Documents,DocFreeTextField,
rid-upd-doc-text-value-form,Update Doc Text Value,Controller;Editor,FORM,rid-upd-doc-text-value-form,,Update a document text value.,,Update;Change;Revise,Documents,DocFreeTextField,
rid-upd-doc-to-com-obj-ms-link-form,Update Doc To Multi-Select Common Object Link,Editor,FORM,rid-upd-doc-to-com-obj-ms-link-form,,Update a document to mutli-select common object link.,,Update;Change;Revise,Documents,CommonObjectListName,
rid-upd-doc-to-com-obj-rb-link-form,Update Doc To Radio Button Common Object Link,Editor,FORM,rid-upd-doc-to-com-obj-rb-link-form,,Update a document to radio button common object link.,,Update;Change;Revise,Documents,CommonObjectListName,
rid-upd-doc-transaction-group-form,Update Document Transaction Group,Controller;Editor,FORM,rid-upd-doc-transaction-group-form,,Update a document transaction group. Is permitted when document ID is locked.,,Update;Change;Revise,Documents,Transaction Groups,
rid-upd-document-id-form,Update Document ID,Controller;Editor,FORM,rid-upd-document-id-form,,Update a document ID.,,Update;Change;Revise,Documents,Document ID,
rid-upd-doc-xref-text-form,Update Document Cross Reference Link Notes,Controller;Editor,FORM,rid-upd-doc-xref-text-form,,Update the note for a document cros reference link.,,Update;Change;Revise,Documents,CrossReference,
rid-upd-duty-function-form,Update Duty Function,Controller,FORM,rid-upd-duty-function-form,,Update a duty function name record.,,Update;Change;Revise,,DutyFunctionField,
rid-upd-duty-function-sid-link-form,Update Duty Function To User Link Notes,Controller,FORM,rid-upd-duty-function-sid-link-form,,Update the notes column of a duty function to user ID record link record.,,Update;Change;Revise,Users,DutyFunctionField,
rid-upd-file-date-field-name-form,Update File Date Name Text Fields,Configurator,FORM,rid-upd-file-date-field-name-form,,Update the text field for a file date name field.,,Update;Change;Revise,Files,FileDateField,
rid-upd-file-date-value-form,Update File Date Value,Controller;Editor,FORM,rid-upd-file-date-value-form,,Update the date value for a file date field.,,Update;Change;Revise,Files,FileDateField,
rid-upd-file-doc-link-form,Update File To Document Link,Editor,FORM,rid-upd-file-doc-link-form,,Update a file to document link.,,Update;Change;Revise;Link,Documents;Files,,
rid-upd-file-group-link-form,Update File To File Group Link Notes,Controller;Editor,FORM,rid-upd-file-group-link-form,,Update the notes column of a file to file group link record.,,Update;Change;Revise,Files,FileGroups,
rid-upd-file-group-name-form,Update File Group,Controller,FORM,rid-upd-file-group-name-form,,Update a file group record.,,Update;Change;Revise,Files,FileGroups,
rid-upd-file-int-field-name-form,Update File Integer Field,Configurator,FORM,rid-upd-file-int-field-name-form,,Update a file integer field name.,,Update;Change;Revise,Files,FileIntegerField,
rid-upd-file-int-value-form,Update File Integer Field Value,Controller;Editor,FORM,rid-upd-file-int-value-form,,Update a file integer field value.,,Update;Change;Revise,Files,FileIntegerField,
rid-upd-file-ms-attr-fg-link-form,Update File Multi-Select Attribute To Filter Group Link,Configurator,FORM,rid-upd-file-ms-attr-fg-link-form,,Update a file multi-select attribute to filter group link.,,Update;Change;Revise,Files,FileMultiSelectList;FilterGroups,
rid-upd-file-ms-attr-list-form,Update File Multi-Select List,Configurator,FORM,rid-upd-file-ms-attr-list-form,,Update the list assignment for a file multi-select attribute.,,Update;Change;Revise,Files,FileMultiSelectList,
rid-upd-file-ms-attr-posn-form,Update File Multi-Select Attribute List Position,Configurator,FORM,rid-upd-file-ms-attr-posn-form,,Update the list position of a file multi-select attribute.,,Update;Change;Revise,Files,FileMultiSelectList,
rid-upd-file-ms-attr-text-form,Update File Multi-Select Attribute Text Fields,Configurator,FORM,rid-upd-file-ms-attr-text-form,,Update the text fields for a file multi-select attribute record. ,,Update;Change;Revise,Files,FileMultiSelectList,
rid-upd-file-ms-list-posn-form,Update File Multi-Select List Position,Configurator,FORM,rid-upd-file-ms-list-posn-form,,Update a file multi-select list position.,,Update;Change;Revise,Files,FileMultiSelectList,
rid-upd-file-ms-list-text-form,Update File Multi-Select List Text Fields,Configurator,FORM,rid-upd-file-ms-list-text-form,,Update the text field for a file multi-select list record.,,Update;Change;Revise,Files,FileMultiSelectList,
rid-upd-file-multi-select-link-form,Update File To Multi-Select Attribute Link,Editor,FORM,rid-upd-file-multi-select-link-form,,Update a file to multi-select attribute link record.,,Update;Change;Revise,Files,FileMultiSelectList,
rid-upd-filename-form,Update Filename,Controller;Editor,FORM,rid-upd-filename-form,,"	Update a filename.",,Update;Change;Revise,Files,Filename,
rid-upd-file-radiob-link-form,Update File To File Radio Button Attribute Link,Editor,FORM,rid-upd-file-radiob-link-form,,Update a radio button attribute linked to a file.,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-upd-file-rb-attr-fg-link-form,Update File Radio Button To Filter Group Link,Configurator,FORM,rid-upd-file-rb-attr-fg-link-form,,Update a file radio button attribute to filter group link.,,Update;Change;Revise,Files,FileRadioButtonList;FilterGroups;FileRadioButtonAttribute,
rid-upd-file-rb-attr-list-form,Reassign a File Radio Button Attribute To a Different List,Configurator,FORM,rid-upd-file-rb-attr-list-form,,Update the radio button list ID of a file radio button attribute.,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-upd-file-rb-attr-posn-form,Update File Radio Button Attribute List Position,Configurator,FORM,rid-upd-file-rb-attr-posn-form,,Update the list position of a file radio button attribute.,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-upd-file-rb-attr-text-form,Update File Radio Button Attribute Text Fields,Configurator,FORM,rid-upd-file-rb-attr-text-form,,Update the text of a file radio button attribute,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-upd-file-rb-list-posn-form,Update List Position of File Radio Button List,Configurator,FORM,rid-upd-file-rb-list-posn-form,,Update the list position of a file radio button list.,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
rid-upd-file-rb-list-text-form,Update File Radio Button List Text Fields,Configurator,FORM,rid-upd-file-rb-list-text-form,,Update the text fields for a file radio button list attribute record. ,,Update;Change;Revise,Files,FileRadioButtonList;FileRadioButtonAttribute,
